query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugz-NXmBP7DWJN9BFv94AaABAg,1 hour ago,1,,it's really crazy how nobody is talking about the book bevelorus the hidden codex of the financial alchemists,@sardarvanshi2234,https://yt3.ggpht.com/bLq4eQb3mT1V8TWFITwKo-iYDzYulds65F5N4KzLj2xwciySkliq4jv1elr1qe8YBTQA_G0ofE4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCGhB9B8EI7kJkZgL_r9P85Q,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwHBmOEnp4NqP1d_6F4AaABAg,1 hour ago,2,,The decision to use Golang was more political than technical.,@fieryscorpion,https://yt3.ggpht.com/ytc/AIdro_lyzHgOal4LUvSSwzq7bmJB2MOgSiMP5927-KccqUcDn40RSFJXW2g-2DKj0R499kW9fg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCgO7tTTVz2RgAPOZ--i6pBg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgyeqVCIDsjmyLj92p14AaABAg,6 minutes ago,1,,Now we can render a single frame of doom in 1.2 days in TypeScript Types,@smort123,https://yt3.ggpht.com/ytc/AIdro_nhnz0V4o65xOlAfKg71rWcwijopH7IHYFxNrnpxmKiqg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC1H5aD13XqLKvhHch2EcFxQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugy6DyQNPayY_3QH5Ax4AaABAg,4 hours ago,1,,Melkey was done dirty in that intro lol,@rambeezler,https://yt3.ggpht.com/q4W7nkd0n8EZ9izH-Hmwubz97PLLGb-Ov9GPlLsQYvv87A2hAIJw4dn3h49ve-BRe3pb7q2g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCDKVoFR7mcND1givec7qeZg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgzqU9V4DSvBOSemRBJ4AaABAg,3 hours ago,2,,I’ve always felt that JS - and to extension TS - was hella sus.,@TamLeAuthentic,https://yt3.ggpht.com/InNPnU7Uua2kWoWSVnbEMleT_zbpO4jv6QAWqUpIOrXjnfILM9HBw0SSxVv-Zcs0cn5jGrcKJz4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC1I-lrOSHkNXVu2QzhmdkTQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugw14fNYzdp1ekWBtF94AaABAg,2 hours ago (edited),1,,"Go is going to be used increasingly for any non-system level codebase, its already the go-to for cli and backend applications, its only going to grow - shocked Microsoft made this sensible choice, but completely agree it is the right choice from the available, modern, languages",@thejjjwils,https://yt3.ggpht.com/ytc/AIdro_n_bXo2zE9OcdOfxdIL6EkLYhNYDsqS_rzmPGm91es=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCik8GDC8sW7DRvzb99USqEA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgzaFO42DkSSfd9oxrR4AaABAg,4 hours ago,2,,"Unless so many Rust developers based their identities on a programming language, today would have been far less entertaining 🍿",@janik6n,https://yt3.ggpht.com/ytc/AIdro_l3jjUqP_Z5CWeVZX0FhtqSc_w-2ixSbTZKZpDNKSDEfyU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCRr4uZ8YJqVjjQe0uD_Wnqg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwA4H8RWt6U39Rajl94AaABAg,5 hours ago,3,,Ill wait for the next fireship video,@bennygn9642,https://yt3.ggpht.com/ytc/AIdro_mlfBTbx9T8hWZ1XS8V22zA8N-OkIUOfgw-B4M9xHY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCb2ugwA2_UDY9lLKsntqTtg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugz22bpQwmuUM1D-4iV4AaABAg,4 hours ago (edited),1,,"Anders is based AF, he's one of the more sane programmers out there
Everyone shat on Angular 2 for deciding to go with TypeScript and tooling as a default, now look at where we are, everyone using TypeScript and a bunch of tooling",@figloalds,https://yt3.ggpht.com/ytc/AIdro_mnkES08tyZekLmq638Nl6S0xvms5z1aA1mKhlNQBpTXzo=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC76aGMgOP8-6ZQ24nr-3_ww,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwP3LDthHMqKUFW1a14AaABAg,2 hours ago,1,,"The CLR IS NOT a virtual machine. Csharp has low level machine language, but you can also use just-in-time and  ahead-of-time, targeting chips and including all framework dependencies,  among other ""compiled"" features and its likely that microsoft has been doing so for years",@luizeduardo9833,https://yt3.ggpht.com/ytc/AIdro_k5ShQo8_DsQSlu592K4W0uZkPBcdw-_WX2EoqF52w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC-13V_1sJnGU607ok_nWYww,FALSE,FALSE,FALSE
